CustomerID,TicketDate,IssueType,ResolutionTime,SatisfactionScore,Name,Age,Gender,City,States,JointDate,CustomerType,Status
CUST07995,2021-05-03,Payment Issue,3,1,Meera,30,F,Pune,WB,2043-11-21,Premium,Active
CUST03549,2021-04-12,Login Issue,14,2,Vikram,55,M,Hyderabad,DL,2031-09-19,Regular,Active
CUST05433,2021-02-14,Login Issue,5,1,Raj,54,M,Hyderabad,DL,2036-11-15,Premium,Active
CUST00343,2021-04-22,Payment Issue,11,1,Neha,38,M,Mumbai,TG,2022-12-09,Regular,Active
CUST04216,2021-02-12,Other,6,5,Meera,22,F,Bangalore,GJ,2033-07-17,Regular,Active
CUST01922,2021-07-27,Login Issue,5,3,Priya,32,M,Hyderabad,MH,2027-04-06,Regular,Active
CUST06559,2021-08-31,Other,5,2,Neha,32,F,Mumbai,MH,2039-12-16,Regular,Active
CUST01699,2021-03-02,Service Down,11,2,Meera,48,M,Hyderabad,WB,2026-08-26,Regular,Active
CUST02649,2021-01-05,Login Issue,9,1,Sneha,34,F,Ahmedabad,MH,2029-04-02,Regular,Active
CUST01577,2021-08-25,Account Blocked,1,4,Neha,32,M,Hyderabad,DL,2026-04-26,Regular,Active
CUST02356,2021-10-12,Other,6,1,Sneha,34,M,Hyderabad,MH,2028-06-13,Regular,Active
CUST01615,2021-05-26,Other,10,4,Ankit,22,M,Pune,TN,2026-06-03,Regular,Active
CUST00861,2021-04-07,Other,6,1,Priya,45,M,Chennai,WB,2024-05-10,Regular,Active
CUST05041,2021-05-14,Account Blocked,11,1,Neha,44,M,Delhi,WB,2035-10-20,Regular,Active
CUST09319,2021-05-30,Other,13,1,Vikram,29,M,Pune,TN,2047-07-07,Regular,Active
CUST04895,2021-01-22,Service Down,5,3,Meera,34,F,Delhi,DL,2035-05-27,Regular,Active
CUST09369,2021-03-12,Payment Issue,4,2,Vikram,62,M,Kolkata,GJ,2047-08-26,Regular,Active
CUST00466,2021-11-11,Login Issue,9,3,Meera,35,F,Kolkata,MH,2023-04-11,Premium,Active
CUST07468,2021-09-19,Payment Issue,2,1,Rahul,37,F,Pune,TG,2042-06-12,Premium,Active
CUST01379,2021-11-17,Account Blocked,13,3,Sneha,42,M,Kolkata,GJ,2025-10-10,Regular,Active
CUST03531,2021-12-23,Payment Issue,2,3,Sneha,38,M,Pune,TN,2031-09-01,Regular,Active
CUST04096,2021-11-06,Service Down,7,1,Rahul,33,M,Delhi,DL,2033-03-19,Regular,Active
CUST01014,2021-02-16,Payment Issue,9,1,Rahul,54,M,Kolkata,MH,2024-10-10,Regular,Active
CUST02027,2021-10-20,Service Down,11,4,Ankit,49,M,Delhi,DL,2027-07-20,Premium,Active
CUST01921,2021-01-19,Login Issue,9,5,Neha,33,M,Delhi,DL,2027-04-05,Regular,Active
CUST01847,2021-06-10,Login Issue,3,2,Raj,39,M,Mumbai,MH,2027-01-21,Regular,Active
CUST05573,2021-07-20,Service Down,7,5,Raj,45,M,Ahmedabad,TN,2037-04-04,Premium,Active
CUST01223,2021-04-04,Other,2,1,Ankit,61,M,Bangalore,WB,2025-05-07,Regular,Active
CUST01571,2021-01-30,Service Down,3,3,Meera,55,M,Hyderabad,MH,2026-04-20,Regular,Active
CUST04741,2021-09-22,Other,1,4,Ankit,46,F,Bangalore,KA,2034-12-24,Regular,Active
CUST04301,2021-06-09,Other,8,2,Rahul,61,F,Bangalore,KA,2033-10-10,Regular,Active
CUST03648,2021-04-03,Service Down,4,2,Meera,54,F,Delhi,TN,2031-12-27,Regular,Active
CUST02787,2021-11-02,Service Down,3,1,Pooja,57,M,Bangalore,DL,2029-08-18,Premium,Active
CUST00559,2021-07-24,Account Blocked,11,3,Raj,47,M,Pune,TN,2023-07-13,Regular,Active
CUST09124,2021-10-06,Account Blocked,1,1,Meera,64,M,Mumbai,GJ,2046-12-24,Regular,Active
CUST07491,2021-04-24,Account Blocked,3,5,Priya,62,M,Hyderabad,GJ,2042-07-05,Premium,Active
CUST01449,2021-05-16,Service Down,13,4,Amit,47,F,Bangalore,WB,2025-12-19,Regular,Active
CUST05468,2021-09-30,Account Blocked,5,3,Rahul,34,F,Delhi,MH,2036-12-20,Regular,Active
CUST00372,2021-12-26,Login Issue,9,1,Sneha,19,M,Ahmedabad,DL,2023-01-07,Regular,Active
CUST02586,2021-03-28,Other,11,2,Vikram,48,M,Kolkata,TN,2029-01-29,Regular,Active
CUST02883,2021-06-26,Payment Issue,7,3,Raj,43,F,Bangalore,TN,2029-11-22,Regular,Active
CUST00822,2021-01-28,Payment Issue,9,4,Raj,38,M,Pune,WB,2024-04-01,Regular,Active
CUST05319,2021-09-11,Other,9,3,Meera,54,M,Kolkata,KA,2036-07-24,Regular,Active
CUST07554,2021-04-26,Account Blocked,3,3,Amit,52,M,Mumbai,KA,2042-09-06,Premium,Active
CUST03023,2021-06-14,Account Blocked,11,3,Neha,25,M,Kolkata,TN,2030-04-11,Regular,Active
CUST05413,2021-06-13,Payment Issue,10,4,Rahul,42,M,Hyderabad,MH,2036-10-26,Regular,Active
CUST08473,2021-05-15,Login Issue,1,2,Priya,21,M,Pune,KA,2045-03-13,Premium,Active
CUST01158,2021-10-07,Service Down,7,4,Amit,38,M,Delhi,GJ,2025-03-03,Regular,Active
CUST00827,2021-03-25,Service Down,7,2,Priya,33,M,Ahmedabad,DL,2024-04-06,Premium,Active
CUST04125,2021-10-21,Other,10,3,Vikram,18,F,Mumbai,DL,2033-04-17,Regular,Active
CUST00624,2021-04-01,Payment Issue,11,1,Raj,49,F,Mumbai,KA,2023-09-16,Regular,Active
CUST03696,2021-09-17,Service Down,5,1,Meera,40,F,Bangalore,TG,2032-02-13,Premium,Active
CUST05226,2021-09-01,Account Blocked,5,5,Ankit,36,F,Ahmedabad,WB,2036-04-22,Regular,Active
CUST04226,2021-03-17,Other,14,1,Sneha,34,F,Pune,KA,2033-07-27,Regular,Active
CUST05021,2021-06-07,Other,14,3,Sneha,53,M,Delhi,GJ,2035-09-30,Premium,Active
CUST09890,2021-06-21,Payment Issue,6,3,Raj,64,F,Kolkata,KA,2049-01-28,Regular,Active
CUST07599,2021-05-14,Login Issue,3,3,Priya,39,F,Hyderabad,MH,2042-10-21,Premium,Active
CUST08856,2021-01-23,Payment Issue,1,5,Amit,22,M,Ahmedabad,TN,2046-03-31,Regular,Active
CUST09988,2021-02-27,Service Down,10,4,Meera,51,M,Hyderabad,TN,2049-05-06,Regular,Active
CUST02548,2021-04-01,Service Down,6,1,Neha,24,M,Bangalore,WB,2028-12-22,Regular,Active
CUST02282,2021-08-27,Login Issue,5,1,Amit,43,F,Pune,TG,2028-03-31,Regular,Active
CUST07799,2021-09-19,Account Blocked,6,5,Vikram,52,F,Bangalore,WB,2043-05-09,Regular,Active
CUST07738,2021-03-29,Login Issue,4,3,Rahul,40,M,Chennai,MH,2043-03-09,Regular,Active
CUST01153,2021-05-22,Other,9,5,Priya,38,M,Bangalore,TG,2025-02-26,Regular,Active
CUST09888,2021-11-17,Other,2,3,Sneha,61,F,Ahmedabad,GJ,2049-01-26,Regular,Active
CUST07403,2021-01-17,Other,6,5,Pooja,22,M,Pune,DL,2042-04-08,Regular,Active
CUST02852,2021-01-06,Payment Issue,2,5,Ankit,53,M,Chennai,KA,2029-10-22,Regular,Active
CUST07001,2021-05-03,Payment Issue,13,1,Rahul,51,M,Delhi,TN,2041-03-02,Premium,Active
CUST07115,2021-05-01,Payment Issue,6,5,Sneha,21,M,Pune,DL,2041-06-24,Premium,Active
CUST04866,2021-12-13,Account Blocked,7,1,Pooja,21,M,Kolkata,KA,2035-04-28,Regular,Active
CUST01582,2021-02-21,Other,13,3,Sneha,57,M,Delhi,MH,2026-05-01,Regular,Active
CUST02143,2021-02-10,Account Blocked,10,3,Raj,39,M,Pune,MH,2027-11-13,Regular,Active
CUST01353,2021-10-27,Account Blocked,14,1,Pooja,37,M,Hyderabad,TN,2025-09-14,Regular,Active
CUST02984,2021-05-04,Other,9,3,Amit,47,F,Bangalore,TN,2030-03-03,Regular,Active
CUST07227,2021-07-18,Service Down,12,4,Rahul,46,F,Hyderabad,TG,2041-10-14,Premium,Active
CUST02266,2021-04-18,Account Blocked,6,5,Amit,26,F,Chennai,MH,2028-03-15,Regular,Active
CUST06563,2021-07-04,Other,2,1,Ankit,49,M,Bangalore,GJ,2039-12-20,Regular,Active
CUST04218,2021-01-01,Payment Issue,13,5,Vikram,53,M,Pune,KA,2033-07-19,Regular,Active
CUST04838,2021-12-08,Login Issue,4,3,Vikram,24,M,Pune,GJ,2035-03-31,Premium,Active
CUST03551,2021-09-02,Service Down,11,1,Neha,51,M,Ahmedabad,GJ,2031-09-21,Regular,Active
CUST06931,2021-02-28,Payment Issue,9,3,Amit,32,M,Chennai,WB,2040-12-22,Regular,Active
CUST03306,2021-12-21,Login Issue,13,5,Ankit,48,F,Hyderabad,MH,2031-01-19,Regular,Active
CUST04703,2021-09-19,Service Down,11,2,Rahul,56,F,Kolkata,TN,2034-11-16,Regular,Active
CUST01867,2021-12-25,Account Blocked,4,2,Vikram,37,F,Pune,DL,2027-02-10,Regular,Active
CUST01550,2021-05-02,Other,10,4,Rahul,35,M,Kolkata,WB,2026-03-30,Regular,Active
CUST06607,2021-03-28,Other,4,4,Rahul,37,F,Bangalore,GJ,2040-02-02,Regular,Active
CUST02098,2021-08-22,Payment Issue,1,5,Neha,33,F,Chennai,MH,2027-09-29,Regular,Active
CUST09614,2021-05-04,Login Issue,7,3,Amit,59,M,Hyderabad,GJ,2048-04-27,Regular,Active
CUST08168,2021-02-26,Login Issue,11,3,Meera,24,M,Bangalore,MH,2044-05-12,Premium,Active
CUST03943,2021-09-22,Login Issue,12,5,Pooja,41,F,Ahmedabad,GJ,2032-10-17,Regular,Active
CUST01909,2021-03-30,Service Down,4,4,Rahul,46,F,Chennai,TG,2027-03-24,Regular,Active
CUST09139,2021-06-29,Other,6,2,Raj,51,F,Delhi,MH,2047-01-08,Regular,Active
CUST08540,2021-06-14,Service Down,9,1,Priya,64,F,Chennai,DL,2045-05-19,Regular,Active
CUST05124,2021-11-10,Payment Issue,3,1,Meera,58,M,Bangalore,DL,2036-01-11,Premium,Active
CUST04817,2021-03-18,Account Blocked,11,4,Rahul,47,F,Ahmedabad,WB,2035-03-10,Premium,Active
CUST02347,2021-11-15,Login Issue,3,5,Raj,39,M,Delhi,DL,2028-06-04,Regular,Active
CUST01740,2021-06-14,Other,9,4,Raj,22,F,Hyderabad,MH,2026-10-06,Regular,Active
CUST02039,2021-01-09,Login Issue,12,4,Sneha,32,M,Kolkata,WB,2027-08-01,Premium,Active
CUST07262,2021-02-05,Payment Issue,9,4,Vikram,58,F,Chennai,MH,2041-11-18,Regular,Active
CUST09592,2021-10-30,Login Issue,14,4,Vikram,54,F,Pune,TN,2048-04-05,Premium,Active
CUST03183,2021-11-24,Other,14,4,Sneha,25,M,Mumbai,WB,2030-09-18,Regular,Active
CUST09114,2021-05-28,Login Issue,8,2,Sneha,63,F,Bangalore,TG,2046-12-14,Regular,Active
CUST04830,2021-04-13,Account Blocked,14,1,Sneha,61,M,Mumbai,MH,2035-03-23,Regular,Active
CUST01359,2021-11-14,Service Down,9,2,Amit,58,F,Mumbai,WB,2025-09-20,Regular,Active
CUST01592,2021-03-19,Service Down,12,1,Priya,44,F,Hyderabad,TN,2026-05-11,Regular,Active
CUST05821,2021-08-14,Payment Issue,4,2,Rahul,58,F,Hyderabad,TG,2037-12-08,Premium,Active
CUST07535,2021-01-22,Other,4,1,Meera,21,M,Hyderabad,TG,2042-08-18,Regular,Active
CUST07067,2021-02-13,Login Issue,9,2,Amit,46,F,Ahmedabad,MH,2041-05-07,Regular,Active
CUST07675,2021-08-31,Payment Issue,6,2,Amit,44,M,Pune,TN,2043-01-05,Regular,Active
CUST06295,2021-05-21,Payment Issue,2,3,Meera,39,F,Kolkata,TG,2039-03-27,Premium,Active
CUST00718,2021-02-05,Other,5,2,Ankit,44,M,Chennai,MH,2023-12-19,Regular,Active
CUST08825,2021-07-11,Login Issue,5,4,Priya,31,M,Pune,TG,2046-02-28,Regular,Active
CUST08102,2021-01-04,Service Down,8,5,Pooja,48,F,Pune,WB,2044-03-07,Regular,Active
CUST06421,2021-06-28,Other,1,1,Pooja,48,F,Bangalore,TG,2039-07-31,Regular,Active
CUST06814,2021-10-22,Other,10,4,Sneha,53,M,Chennai,TG,2040-08-27,Regular,Active
CUST07979,2021-08-20,Other,4,4,Rahul,49,M,Pune,TN,2043-11-05,Regular,Active
CUST06127,2021-08-23,Payment Issue,7,3,Raj,34,F,Hyderabad,MH,2038-10-10,Regular,Active
CUST04915,2021-02-05,Other,7,2,Pooja,34,M,Kolkata,GJ,2035-06-16,Regular,Active
CUST08621,2021-09-18,Payment Issue,12,2,Rahul,39,F,Pune,MH,2045-08-08,Regular,Active
CUST05474,2021-05-29,Account Blocked,4,2,Raj,50,M,Hyderabad,TG,2036-12-26,Regular,Active
CUST08646,2021-09-07,Login Issue,6,3,Vikram,50,M,Pune,MH,2045-09-02,Regular,Active
CUST02162,2021-04-28,Service Down,3,1,Rahul,21,F,Ahmedabad,GJ,2027-12-02,Regular,Active
CUST08080,2021-04-19,Login Issue,12,3,Neha,56,F,Ahmedabad,TN,2044-02-14,Regular,Active
CUST07372,2021-03-20,Service Down,6,4,Vikram,60,M,Delhi,TG,2042-03-08,Premium,Active
CUST06933,2021-01-27,Login Issue,1,1,Neha,46,M,Mumbai,KA,2040-12-24,Regular,Active
CUST05309,2021-08-16,Account Blocked,1,3,Ankit,39,F,Delhi,DL,2036-07-14,Regular,Active
CUST00257,2021-06-06,Account Blocked,8,2,Raj,23,F,Pune,MH,2022-09-14,Regular,Active
CUST09292,2021-02-25,Account Blocked,2,4,Meera,25,F,Pune,DL,2047-06-10,Regular,Active
CUST02805,2021-03-05,Payment Issue,14,1,Raj,33,M,Ahmedabad,MH,2029-09-05,Regular,Active
CUST04028,2021-06-14,Other,6,4,Priya,50,M,Chennai,KA,2033-01-10,Regular,Active
CUST04740,2021-06-24,Login Issue,1,1,Sneha,42,M,Kolkata,GJ,2034-12-23,Regular,Active
CUST06606,2021-04-10,Service Down,14,3,Neha,53,F,Ahmedabad,TG,2040-02-01,Regular,Active
CUST05073,2021-01-08,Other,6,4,Neha,54,M,Delhi,MH,2035-11-21,Regular,Active
CUST05767,2021-11-08,Account Blocked,14,5,Vikram,39,M,Ahmedabad,GJ,2037-10-15,Regular,Active
CUST00524,2021-01-11,Payment Issue,11,4,Amit,26,F,Pune,MH,2023-06-08,Regular,Active
CUST09643,2021-03-19,Other,12,3,Amit,35,M,Ahmedabad,WB,2048-05-26,Regular,Active
CUST07605,2021-01-23,Service Down,12,4,Rahul,31,F,Mumbai,TN,2042-10-27,Premium,Active
CUST00020,2021-11-29,Payment Issue,5,4,Priya,27,M,Chennai,MH,2022-01-20,Premium,Active
CUST04209,2021-04-02,Service Down,12,3,Ankit,31,F,Delhi,KA,2033-07-10,Premium,Active
CUST08499,2021-08-01,Service Down,8,2,Amit,44,F,Delhi,DL,2045-04-08,Regular,Active
CUST05629,2021-05-20,Other,3,4,Rahul,44,F,Bangalore,TG,2037-05-30,Regular,Active
CUST02281,2021-11-18,Account Blocked,8,4,Neha,39,F,Pune,WB,2028-03-30,Regular,Active
CUST00931,2021-04-10,Other,2,3,Pooja,46,F,Kolkata,TN,2024-07-19,Regular,Active
CUST08267,2021-04-22,Other,14,3,Neha,64,M,Kolkata,MH,2044-08-19,Regular,Active
CUST00444,2021-06-16,Service Down,11,4,Neha,52,F,Mumbai,GJ,2023-03-20,Regular,Active
CUST09704,2021-04-17,Service Down,4,5,Ankit,29,F,Delhi,KA,2048-07-26,Regular,Active
CUST09588,2021-12-24,Other,13,5,Priya,31,F,Hyderabad,TN,2048-04-01,Regular,Active
CUST02483,2021-09-03,Payment Issue,4,1,Amit,64,F,Delhi,KA,2028-10-18,Regular,Active
CUST03255,2021-12-01,Account Blocked,8,1,Amit,41,M,Hyderabad,WB,2030-11-29,Regular,Active
CUST07179,2021-01-03,Service Down,4,1,Neha,34,M,Hyderabad,DL,2041-08-27,Regular,Active
CUST04199,2021-01-13,Other,1,2,Raj,39,M,Kolkata,KA,2033-06-30,Regular,Active
CUST07373,2021-06-12,Service Down,7,1,Vikram,56,M,Mumbai,KA,2042-03-09,Regular,Active
CUST03742,2021-01-14,Payment Issue,9,5,Meera,57,F,Chennai,WB,2032-03-30,Premium,Active
CUST04604,2021-08-08,Other,2,3,Ankit,41,F,Mumbai,DL,2034-08-09,Regular,Active
CUST07119,2021-09-10,Payment Issue,8,4,Pooja,24,F,Kolkata,MH,2041-06-28,Regular,Active
CUST01259,2021-09-04,Login Issue,7,4,Pooja,58,F,Bangalore,DL,2025-06-12,Regular,Active
CUST08875,2021-10-06,Service Down,11,2,Pooja,64,M,Mumbai,GJ,2046-04-19,Regular,Active
CUST08026,2021-03-18,Payment Issue,1,4,Vikram,30,M,Kolkata,TN,2043-12-22,Regular,Active
CUST02656,2021-10-01,Service Down,12,5,Amit,62,M,Pune,MH,2029-04-09,Regular,Active
CUST09890,2021-12-24,Login Issue,1,3,Raj,64,F,Kolkata,KA,2049-01-28,Regular,Active
CUST04250,2021-12-09,Other,1,5,Ankit,31,F,Delhi,TG,2033-08-20,Regular,Active
CUST05200,2021-04-09,Service Down,14,1,Priya,61,F,Mumbai,MH,2036-03-27,Regular,Active
CUST00010,2021-12-01,Other,11,2,Amit,30,F,Kolkata,GJ,2022-01-10,Regular,Active
CUST04686,2021-10-01,Service Down,5,3,Rahul,18,F,Bangalore,KA,2034-10-30,Regular,Active
CUST08435,2021-10-01,Payment Issue,4,4,Neha,59,F,Delhi,KA,2045-02-03,Regular,Active
CUST07727,2021-01-09,Other,4,2,Pooja,63,M,Mumbai,WB,2043-02-26,Regular,Active
CUST07530,2021-06-10,Payment Issue,10,2,Rahul,51,M,Mumbai,TG,2042-08-13,Regular,Active
CUST05398,2021-08-25,Payment Issue,2,5,Amit,53,F,Mumbai,TG,2036-10-11,Regular,Active
CUST03542,2021-02-09,Account Blocked,7,2,Priya,27,M,Mumbai,MH,2031-09-12,Regular,Active
CUST04876,2021-04-29,Other,3,4,Meera,25,M,Pune,KA,2035-05-08,Regular,Active
CUST08788,2021-01-19,Login Issue,8,2,Priya,30,M,Pune,WB,2046-01-22,Regular,Active
CUST02677,2021-06-17,Service Down,2,5,Rahul,24,F,Chennai,KA,2029-04-30,Regular,Active
CUST09659,2021-03-31,Payment Issue,1,4,Ankit,62,M,Mumbai,WB,2048-06-11,Regular,Active
CUST03965,2021-01-18,Account Blocked,6,1,Priya,34,M,Mumbai,WB,2032-11-08,Regular,Active
CUST08404,2021-03-06,Login Issue,3,5,Sneha,48,F,Ahmedabad,TN,2045-01-03,Regular,Active
CUST09323,2021-01-04,Other,12,3,Amit,26,F,Delhi,WB,2047-07-11,Regular,Active
CUST07304,2021-10-08,Service Down,14,1,Vikram,62,F,Mumbai,GJ,2041-12-30,Regular,Active
CUST08423,2021-11-27,Login Issue,8,4,Meera,41,M,Delhi,MH,2045-01-22,Regular,Active
CUST07827,2021-04-16,Payment Issue,14,2,Priya,57,F,Pune,DL,2043-06-06,Regular,Active
CUST04903,2021-04-15,Other,3,1,Sneha,51,F,Chennai,DL,2035-06-04,Regular,Active
CUST07715,2021-01-20,Other,13,1,Priya,25,M,Hyderabad,TN,2043-02-14,Regular,Active
CUST04839,2021-07-19,Account Blocked,14,1,Rahul,63,F,Delhi,TN,2035-04-01,Regular,Active
CUST05206,2021-06-01,Payment Issue,1,1,Neha,51,M,Mumbai,MH,2036-04-02,Regular,Active
CUST09249,2021-05-17,Login Issue,2,3,Raj,60,F,Delhi,TN,2047-04-28,Regular,Active
CUST05785,2021-08-02,Service Down,1,5,Sneha,40,F,Ahmedabad,TG,2037-11-02,Regular,Active
CUST03700,2021-08-16,Other,14,4,Rahul,64,F,Pune,TG,2032-02-17,Regular,Active
CUST07862,2021-12-05,Other,3,5,Raj,21,F,Bangalore,MH,2043-07-11,Regular,Active
CUST06939,2021-08-06,Login Issue,5,1,Priya,43,M,Chennai,TG,2040-12-30,Regular,Active
CUST08494,2021-12-25,Other,12,3,Meera,56,M,Ahmedabad,TN,2045-04-03,Regular,Active
CUST05657,2021-01-31,Payment Issue,4,5,Priya,63,M,Mumbai,MH,2037-06-27,Premium,Active
CUST04892,2021-05-03,Login Issue,8,1,Neha,52,F,Chennai,TG,2035-05-24,Premium,Active
CUST04436,2021-03-10,Service Down,5,2,Rahul,60,F,Delhi,MH,2034-02-22,Regular,Active
CUST04341,2021-12-15,Service Down,11,3,Sneha,63,M,Pune,WB,2033-11-19,Regular,Active
CUST01279,2021-03-11,Account Blocked,7,1,Raj,26,F,Delhi,TG,2025-07-02,Regular,Active
CUST03185,2021-06-03,Service Down,1,2,Meera,38,F,Hyderabad,TG,2030-09-20,Regular,Active
CUST03104,2021-06-04,Account Blocked,7,2,Pooja,35,F,Delhi,DL,2030-07-01,Regular,Active
CUST05572,2021-07-30,Payment Issue,5,2,Amit,37,F,Delhi,DL,2037-04-03,Regular,Active
CUST09134,2021-11-13,Account Blocked,11,2,Amit,52,M,Kolkata,MH,2047-01-03,Premium,Active
CUST03968,2021-12-13,Account Blocked,6,1,Priya,25,F,Delhi,TG,2032-11-11,Regular,Active
CUST04982,2021-06-11,Service Down,7,3,Pooja,29,M,Kolkata,KA,2035-08-22,Premium,Active
CUST00432,2021-12-28,Account Blocked,14,3,Meera,59,M,Hyderabad,MH,2023-03-08,Regular,Active
CUST09089,2021-10-01,Login Issue,7,5,Raj,43,F,Hyderabad,WB,2046-11-19,Regular,Active
CUST09113,2021-04-21,Service Down,1,5,Raj,21,M,Pune,MH,2046-12-13,Premium,Active
CUST05913,2021-10-03,Login Issue,8,3,Neha,59,M,Bangalore,MH,2038-03-10,Regular,Active
CUST05726,2021-06-01,Payment Issue,2,5,Priya,21,F,Pune,DL,2037-09-04,Regular,Active
CUST04603,2021-02-23,Service Down,13,4,Raj,30,F,Pune,TG,2034-08-08,Regular,Active
CUST01406,2021-04-04,Other,3,4,Vikram,63,F,Bangalore,MH,2025-11-06,Regular,Active
CUST07534,2021-05-27,Login Issue,12,2,Amit,50,F,Kolkata,GJ,2042-08-17,Regular,Active
CUST02920,2021-04-01,Login Issue,12,4,Raj,37,M,Kolkata,MH,2029-12-29,Regular,Active
CUST09836,2021-08-10,Payment Issue,5,4,Sneha,23,M,Mumbai,MH,2048-12-05,Regular,Active
CUST03519,2021-04-26,Service Down,11,4,Raj,19,M,Hyderabad,DL,2031-08-20,Regular,Active
CUST00199,2021-07-07,Account Blocked,12,5,Priya,33,F,Mumbai,GJ,2022-07-18,Regular,Active
CUST03995,2021-03-01,Account Blocked,3,3,Priya,51,M,Delhi,DL,2032-12-08,Regular,Active
